symbol,currency,country,downMonthPercentage,industry,subsector,twoYear,sixMonth,threeMonth,oneYearRisk,twoYearRisk,sinceStartDateRisk,a_sinceStartDateRisk,a_oneYearRisk,a_twoYearRisk
AQB,USD,United States,0.6153846153846154,Health Care,Biotechnology,-0.7725205721524723,-0.29906541817905474,0.09756100710152231,0.09215794691246076,0.1020998668684892,0.10222847229955626,1.5911714520343443,1.4217435593771983,-0.5230519652545702
AQST,USD,United States,0.75,Health Care,Pharmaceuticals,nan,-0.6418523500134713,-0.07281542846674517,nan,nan,0.05526105104984473,0.8144025711488134,nan,nan
AQXP,USD,Canada,0.5333333333333333,Health Care,Biotechnology,-0.8300819429845009,-0.08191159126166546,0.245370587278993,0.0655858911509057,0.05036100096254184,0.14743149623493393,2.3110148436030618,1.0075495778679053,-0.5877888198805143
ARDM,USD,United States,0.6091370558375635,Basic Materials,Coal,-0.7714284795912904,-0.7183096714059155,-0.5999999951187275,0.06634694922264353,0.07333173472244808,0.061358922575644764,0.8975398337959438,0.9773515921304842,-0.5219084602205246
ARLZ,USD,Canada,0.4895833333333333,Health Care,Pharmaceuticals,-0.9956007194477906,-0.9871428572635166,-0.9455864608316619,0.10223600853230931,0.08069663270269029,0.05062822450879186,0.7824139357128198,1.5838334337134135,-0.9336729274563594
PETX,USD,United States,0.4927536231884058,Health Care,Biotechnology,-0.2710256949209739,-0.3613015593346147,-0.39151730153852043,0.031116043485179157,0.03209365763374093,0.04202197348684668,0.6594803827738901,0.4820476728718587,-0.14620007901205212
ABUS,USD,Canada,0.55,Health Care,Biotechnology,0.0372452759627028,-0.6201057939043142,-0.06266295770703391,0.05742929166041926,0.05173747057363736,0.049160574140244225,0.755343833527527,0.861439374906289,0.018452392585290633
ARCW,USD,United States,0.5628140703517588,Technology,Telecommunications Equipment,-0.7550316305950612,-0.3833329354458741,0.01750005182089038,0.057589733513416466,0.05094255627384719,0.062026932749776165,0.8350008561548087,0.8083104286168933,-0.5050572059268477
ABIO,USD,United States,0.585635359116022,Health Care,Pharmaceuticals,-0.8539621932615671,-0.3089285764512013,0.160419768257086,0.08420281240113213,0.08262243809208848,0.07070860005753,1.0868495132765745,1.315289976532742,-0.6178510673331236
RKDA,USD,United States,0.717391304347826,Health Care,Biotechnology,-0.4915675908057871,0.4294476425591684,1.205046905227935,0.06978098540821391,0.16021973756329136,0.12215702585894343,1.898076431812177,1.0900138373378994,-0.28695553491089143
ARCB,USD,United States,0.49246231155778897,Industrials,Trucking,0.261297232193179,-0.35304421767487304,-0.08503037516416098,0.03241227844098709,0.03298278591510076,0.030747228114757462,0.4781407610031593,0.5062959743782313,0.12307490052675418
ACGL,USD,Bermuda,0.39195979899497485,Financials,Property & Casualty Insurance,0.028642524211929782,0.07212376688581802,0.19610798294707707,0.012040760105277123,0.011307447312388181,0.013468462073330516,0.2098206640396083,0.1884677066731702,0.014220155692012293
ACGLO,USD,United States,nan,Financials,Property & Casualty Insurance,nan,nan,nan,nan,nan,nan,nan,nan,nan
ACGLP,USD,United States,nan,Financials,Property & Casualty Insurance,nan,nan,nan,nan,nan,nan,nan,nan,nan
FUV,USD,United States,0.5555555555555556,Consumer Goods,Automobiles,nan,0.2648651495538004,0.7462685454790442,0.09304139129108899,nan,0.0838190627607617,1.2804322927835987,1.4141067194420418,nan
ARCT,USD,United States,0.4925373134328358,Health Care,Pharmaceuticals,-0.3262536513848146,-0.3857466430947446,0.19867577747797158,0.04424969108896671,0.04362992356606578,0.05113970471500779,0.7452208543096764,0.6783349194499796,-0.17917946625636527
ARDX,USD,United States,0.543859649122807,Health Care,Biotechnology,-0.7970692432449655,-0.30344845807868803,0.6927378496049261,0.0465055201574935,0.05231246289801833,0.05145286024945341,0.795671414617397,0.6913542597911049,-0.5495216356415832
ARNA,USD,United States,0.5376884422110553,Health Care,Biotechnology,2.0856166299321828,-0.021077813558023913,0.1566112044390448,0.03184333812273932,0.04014898015145732,0.044128869742882736,0.6775314582677214,0.4994432429902115,0.7565923345876762
ARCC,USD,United States,nan,Financials,Equity Investment Instruments,nan,nan,nan,nan,nan,nan,nan,nan,nan
ARGX,USD,Netherlands,0.3181818181818182,Health Care,Biotechnology,nan,0.6770835600998202,0.32393047243507056,0.030511229262899456,nan,0.04832651543945406,0.7566351142581956,0.4785499319180499,nan
ARDS,USD,United States,0.6666666666666666,Health Care,Biotechnology,nan,-0.1231102037456114,-0.11917177532101521,nan,nan,0.059021974279477855,0.8496162286910738,nan,nan
ARKR,USD,United States,0.4723618090452261,Consumer Services,Restaurants & Bars,-0.16323795429920215,-0.14443028149773882,0.07242616847371547,0.022917786638618542,0.01994789485574609,0.024117850222934147,0.3575354131912484,0.34146733029638404,-0.08525301547324149
ARTX,USD,United States,0.5326633165829145,Industrials,Defense,-0.04734340340613318,-0.1470588677091942,0.10687026497629333,0.028543982359868436,0.028870695157393222,0.050137347470735304,0.7479586236076025,0.4076896141771802,-0.02395871163466301
ARQL,USD,United States,0.5326633165829145,Health Care,Biotechnology,3.456139526301984,-0.10247348719212618,0.833934699044984,0.06840191773826515,0.05756994926197577,0.04310032520536422,0.6574073710325027,1.0662803717203986,1.1109570166874514
ARRY,USD,United States,0.4824120603015075,Health Care,Biotechnology,1.4633423451863896,0.5506584751842712,0.6540355890294198,0.03265615797186548,0.03540425598300411,0.04226873453390454,0.6537485202182816,0.5121918241800865,0.5695038531925909
ARRS,USD,United States,0.44221105527638194,Technology,Telecommunications Equipment,0.187453278407605,0.21623678449492095,0.034020053651185954,0.016139322848658613,0.016211631467495942,0.03183933444632151,0.49654790979473584,0.2500293144476786,0.08970329833749013
DWCR,USD,nan,0.5,nan,nan,nan,-0.04660192848107863,0.029984883940782588,0.04069786753136589,nan,0.043604023439262056,0.1512561102861825,0.14098154864806695,nan
DWAT,USD,nan,0.35185185185185186,nan,nan,0.033637649261088136,-0.13489234278360937,-0.019127472443965732,0.04759172375795645,0.03741029936697469,0.031377851733176636,0.10873260761421778,0.16486256713712677,0.016679718132061483
AROW,USD,United States,0.4472361809045226,Financials,Banks,0.09806831871396623,-0.09875152456307187,0.03376654006546364,0.015289050698842732,0.014830714910439089,0.019795284659956936,0.30768261289877713,0.23685695494375508,0.04788755060548655
ARWR,USD,United States,0.4860335195530726,Industrials,Industrial Machinery,8.85027133309717,-0.03912362411244038,0.48309152676728345,0.05391445771475023,0.05327891874983327,0.05141059143710327,0.8986342454534203,0.8438947469415364,2.13851419195408
ASNS,USD,United States,0.5625,Health Care,Biotechnology,nan,1.049301746316197,0.4309777732662254,0.18757875808779578,nan,0.162741235511933,2.5063001653132164,2.8694032434755137,nan
ARTNA,USD,United States,0.457286432160804,Utilities,Water,0.22904390613936554,0.04142310783538416,0.09125843512419289,0.017576053084649934,0.01899594538841365,0.016566920831066773,0.25641840653946524,0.2756696209967112,0.10862252644412984
ARTW,USD,United States,0.5276381909547738,Industrials,Commercial Vehicles & Trucks,-0.44571458164324534,-0.22400041634599543,-0.03000051624897186,0.04981866927224834,0.04714065864192681,0.04723994010714475,0.6833640666802635,0.7270795411206958,-0.25549652898273567
ASNA,USD,United States,0.5307262569832403,Consumer Services,Apparel Retailers,-0.7131578754558517,-0.7614879201073649,-0.5657370352604084,0.04965389534788222,0.04944020521178948,0.02796734730375035,0.4841893957037743,0.7692348390266951,-0.4644235586359794
ASND,USD,Denmark,0.4444444444444444,Health Care,Biotechnology,0.02854920749768678,-0.002465362776339278,0.018984870068313755,0.012490137305171846,0.00980622357862154,0.010557946821638846,0.03661626772372746,0.043267104812138114,0.014174150477957559
ASCMA,USD,United States,0.48412698412698413,Consumer Services,Broadcasting & Entertainment,-0.948757965379501,-0.5874582020589008,0.8723098592428244,0.11969084456193078,0.08834201602052617,0.045854368790255194,0.7237607878269516,1.854242590727434,-0.7736329648104674
APWC,USD,Taiwan (Republic of China),0.5175879396984925,Industrials,Electrical Components & Equipment,-0.04773478964389508,-0.14340714367879487,0.1921655389254427,0.030782325123564554,0.03238626961398129,0.08398327656565822,1.0554732986771072,0.4287481763955267,-0.024159228994758086
ASLN,USD,Singapore,0.0,Health Care,Pharmaceuticals,nan,0.2909726588692539,0.2909726588692539,nan,nan,0.04899926975509147,0.26084235251884774,nan,nan
ASML,USD,Netherlands,0.4623115577889447,Technology,Semiconductors,0.41639258643606225,-0.003882616278342658,0.20350854266720517,0.021995863980458587,0.019379318922429552,0.024847600626703537,0.38824802748645176,0.3456921375515624,0.19012292912793782
ASPU,USD,United States,0.524390243902439,Consumer Services,Specialized Consumer Services,0.17893407289443297,-0.22941195626007752,-0.04379567126247539,0.03290848704201582,0.035879560749644664,0.0686472962567974,0.9284896547901591,0.5140470005089648,0.08578730555041636
AZPN,USD,United States,0.40703517587939697,Technology,Software,0.8124673153788413,-0.08875427144850913,0.2630812834710818,0.020080143877726424,0.017343235791431412,0.032652815195527575,0.504656319296808,0.31558423281763925,0.3462790629653427
ASMB,USD,United States,0.5252525252525253,Health Care,Pharmaceuticals,-0.3228754918342278,-0.51534732791679,-0.20424385129780231,0.03870218317178487,0.034449825393670204,0.04547210375855772,0.7139557988600734,0.6082525533187756,-0.17712424500063673
ASFI,USD,United States,0.4824120603015075,Financials,Consumer Finance,0.108566890568286,0.15329141155980375,0.06936614205811684,0.04701462819896622,0.04530211715102472,0.03380879702417369,0.5131690236694645,0.6632229471849711,0.0528850319803611
ASTE,USD,United States,0.457286432160804,Industrials,Commercial Vehicles & Trucks,-0.38699133746533426,-0.2657430070799843,0.2223498332939549,0.029563022507023473,0.02448177959994996,0.029089392969296374,0.4538779005836923,0.46461936898760664,-0.21705130274412887
ATRO,USD,United States,0.4472361809045226,Industrials,Aerospace,0.24970836101132587,-0.16111538121664903,0.013793038773560579,0.021623562747180577,0.02209635082271263,0.03306637709743675,0.5117306052786126,0.3370779838689337,0.11790355622089588
