EQBK,USD,United States,0.45,Financials,Banks,-0.06388414338238109,-0.2710137769386329,-0.18808524789832887,0.017103231122875248,0.015409812756988713,0.015761313765265222,0.24810157941738917,0.267161010668786,-0.03246919603682963
ERIC,USD,Sweden,0.441025641025641,Technology,Telecommunications Equipment,0.4209206358340824,0.05681819233858449,0.048478168302960443,0.021687357719206265,0.021649776728211712,0.02532005915734056,0.39753285787452836,0.3352784139740507,0.19202375640508218
ERIE,USD,United States,0.3869346733668342,Financials,Property & Casualty Insurance,0.5328273505880673,0.4029780493060597,0.33311463051360063,0.012180461190917579,0.012518338327132856,0.014051160544711469,0.21915994969064456,0.1914309739864267,0.23807404891148054
ERYP,USD,France,0.40625,Health Care,Biotechnology,-0.6735018373743266,-0.12368711859592953,0.10870005556496753,0.05318466715695951,0.05574167759888416,0.05574167759888416,0.5535260038829601,0.7272893849435438,-0.4285998226936979
ESCA,USD,United States,0.46733668341708545,Consumer Goods,Recreational Products,-0.0133574902541614,-0.07334146994653266,0.028662951899919256,0.021680674363433457,0.021084635698631823,0.04095758642484496,0.622460061949975,0.3280881371756561,-0.0067011981554399025
ESPR,USD,United States,0.391304347826087,Health Care,Pharmaceuticals,0.06847564948059352,-0.05048436384201384,-0.08413033358886755,0.045743869782851776,0.04050038361391025,0.05261007928645328,0.8341546404617581,0.7203751817158917,0.03367095803287112
ESQ,USD,United States,0.3333333333333333,Financials,Banks,nan,-0.12259663595388484,0.009216451978762785,0.019662230316627182,nan,0.020753702396059573,0.3214412439118499,0.30460596226236664,nan
ESSA,USD,United States,0.4405594405594406,Financials,Banks,0.126179720179653,-0.028582476286926374,0.005597751413179411,0.010468523709985992,0.011640212046266557,0.01574521382943514,0.2440899996545087,0.15385524869815914,0.06121615148830695
EPIX,USD,Canada,0.6666666666666666,Health Care,Biotechnology,-0.9560461869344202,0.1729423525806625,0.6761905551556578,0.06376144326766416,0.07224775157857724,0.07277035834541218,0.9980171116698628,0.973276190957687,-0.7903483530577932
ESND,USD,United States,0.5,Industrials,Industrial Suppliers,-0.32550947298476934,-0.21309372865518922,0.015899844426619944,0.03599101238305091,0.03347996623201995,0.02345881980636747,0.3654088537417037,0.5493789607904214,-0.17872627765450178
ESTA,USD,Costa Rica,0.375,Health Care,Medical Equipment,nan,0.17261362553017234,-0.06813579635133142,nan,nan,0.028853338406456246,0.42870869387014715,nan,nan
ESTR,USD,Brazil,0.5641025641025641,Industrials,Waste & Disposal Services,-0.8171386592231437,-0.7221298126701107,0.17605628376381544,0.09162826766955362,0.06752702427077352,0.05703918985422333,0.7146599164449046,1.2958193883503493,-0.5723771044753844
ESTRW,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
VBND,USD,nan,0.46296296296296297,nan,nan,0.024076017329465092,0.02141852870124191,0.03077443235002528,0.007818958715645563,0.007806985968088063,0.009127335706863408,0.03162864750642843,0.027085667515563214,0.011966411166628221
VUSE,USD,nan,0.38095238095238093,nan,nan,0.08792374775312857,-0.09986205198413613,-0.00620506624424744,0.05459189625378908,0.043015740886621114,0.03891494468644161,0.13487089678502712,0.18911187598618348,0.043035832439676236
VIDI,USD,nan,0.48484848484848486,nan,nan,0.11170590185634881,-0.009328314649199747,0.04326322520371651,0.04534229054636087,0.03867202423396215,0.03612670735391343,0.12518088612687397,0.15707030191569402,0.05437464966507455
ETSY,USD,United States,0.44680851063829785,Consumer Services,Broadline Retailers,5.673634511073699,0.3184118003911927,0.42400661390499733,0.03872374046023185,0.034165672129717696,0.03739745708746025,0.5899193088733852,0.6048841627588384,1.5833378623543801
CLWT,USD,Hong Kong,0.542713567839196,Consumer Goods,Durable Household Products,-0.004065586254125857,-0.13615530358763228,0.09126286742756706,0.12154965815716291,0.09728099014205491,0.0898743270764519,1.2973974550028506,1.8433918361456219,-0.002034863461716885
EDRY,USD,Greece,0.6666666666666666,Industrials,Marine Transportation,nan,0.03750422120180995,0.193676920957128,nan,nan,0.04411673459147132,0.6514058597011712,nan,nan
EEFT,USD,United States,0.41708542713567837,Industrials,Financial Administration,0.6684224935064833,0.39074030409006133,0.3613985950250096,0.02027283249538259,0.018072376294785197,0.026033292208991244,0.40556394848108795,0.3179669533094858,0.29167429853910276
ESEA,USD,Greece,0.577922077922078,Industrials,Marine Transportation,-0.4751988475838903,-0.4681496006611254,-0.035069986601788776,0.0817331148531846,0.06329505648636118,0.05330161291306912,0.8199323206505199,1.2449217159147385,-0.27556839355525786
EVLO,USD,United States,0.5,Health Care,Biotechnology,nan,-0.5170009773799935,-0.36210108505947947,nan,nan,0.046671432797774685,0.6899520480034279,nan,nan
EVBG,USD,United States,0.3,Technology,Internet,2.6448387789933605,0.28157524652415516,0.30144472531551325,0.03089086369708152,0.027018767719370135,0.027310440513444736,0.43131762356459924,0.48548803137467994,0.909146086341577
EVK,USD,China,0.5125628140703518,Basic Materials,Gold Mining,0.4274699348928977,0.1212118543183295,-0.0732857967455359,0.051008003846619104,0.04860568159516554,0.10336157483892906,1.3021125913769351,0.6035348406665014,0.19476773261286962
EVER,USD,United States,0.5555555555555556,Financials,Insurance Brokers,nan,-0.4818024916503573,0.8097094285823195,nan,nan,0.053795978654906394,0.8000440635402944,nan,nan
MRAM,USD,United States,0.5172413793103449,Technology,Semiconductors,-0.1376447651232808,-0.07161454497036114,0.27094494516179113,0.04005123983410487,0.04904788727777409,0.0472881598208652,0.7405307332395727,0.6204711394897892,-0.07136916114275038
